eval_id	eval_group_id	timestamp	workflow	split	suite	prompt_variant	policy_label	instance_count	suite_average_gap	suite_min_gap	suite_max_gap	easy_average	medium_average	hard_average	all_feasible	total_wall_time	decision	is_primary_track	policy_summary
32	20	2026-03-20 19:49:23	scout	replay_16	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	30.1	discard	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
33	21	2026-03-20 20:23:51	scout	train	mis_scout_48	full	adaptive	1	0.600000	0.600000	0.600000			0.600000	1	381.2	keep	1	QRAO realamplitudes d=1 COBYLA
34	21	2026-03-20 20:23:51	scout	replay_32	mis_scout_32	full	adaptive	2	0.225000	0.200000	0.250000			0.225000	1	113.8	keep	0	QRAO realamplitudes d=1 COBYLA
35	21	2026-03-20 20:23:51	scout	replay_16	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	7.7	keep	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
36	22	2026-03-20 20:45:29	scout	train	mis_scout_48	full	adaptive	1	0.666667	0.666667	0.666667			0.666667	1	384.7	discard	1	QRAO realamplitudes d=1 COBYLA
37	22	2026-03-20 20:45:29	scout	replay_32	mis_scout_32	full	adaptive	2	0.225000	0.200000	0.250000			0.225000	1	112.4	discard	0	QRAO realamplitudes d=1 COBYLA
38	22	2026-03-20 20:45:29	scout	replay_16	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	7.9	discard	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
39	23	2026-03-20 20:59:16	scout	train	mis_scout_48	full	adaptive	1	0.666667	0.666667	0.666667			0.666667	1	371.2	discard	1	QRAO realamplitudes d=1 COBYLA
40	23	2026-03-20 20:59:16	scout	replay_32	mis_scout_32	full	adaptive	2	0.183334	0.166667	0.200000			0.183334	1	116.7	discard	0	QRAO realamplitudes d=1 COBYLA
41	23	2026-03-20 20:59:16	scout	replay_16	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	7.9	discard	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
42	24	2026-03-21 10:32:39	scout	train	mis_scout_48	full	adaptive	1	1.000000	1.000000	1.000000			1.000000	0	1020.0	discard	1	
43	24	2026-03-21 10:32:39	scout	replay_32	mis_scout_32	full	adaptive	2	0.316666	0.300000	0.333333			0.316666	1	135.3	discard	0	QRAO realamplitudes d=1 COBYLA
44	24	2026-03-21 10:32:39	scout	replay_16	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	10.3	discard	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
45	25	2026-03-21 10:56:15	scout	train	mis_scout_48	full	adaptive	1	1.000000	1.000000	1.000000			1.000000	0	426.6	discard	1	QRAO realamplitudes d=1 COBYLA
46	25	2026-03-21 10:56:15	scout	replay_32	mis_scout_32	full	adaptive	2	0.225000	0.200000	0.250000			0.225000	1	128.2	discard	0	QRAO realamplitudes d=1 COBYLA
47	25	2026-03-21 10:56:15	scout	replay_16	mis_scout_16	full	adaptive	2	0.000000	0.000000	0.000000		0.000000	0.000000	1	9.7	discard	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
48	26	2026-03-21 11:56:03	confirm	train	mis_curriculum_48	full	adaptive	1	1.000000	1.000000	1.000000			1.000000	0	404.6	confirm	0	QRAO realamplitudes d=1 COBYLA
49	26	2026-03-21 11:56:03	confirm	replay_32	mis_curriculum_32	full	adaptive	5	0.324082	0.166667	0.461538			0.324082	1	278.7	confirm	0	QRAO realamplitudes d=1 COBYLA
50	26	2026-03-21 11:56:03	confirm	replay_16	mis_curriculum_16	full	adaptive	5	0.025000	0.000000	0.125000		0.031250	0.000000	1	23.5	confirm	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
51	27	2026-03-21 12:33:54	confirm	train	mis_curriculum_48	full	adaptive	1	0.533333	0.533333	0.533333			0.533333	1	404.4	confirm	0	QRAO realamplitudes d=1 COBYLA
52	27	2026-03-21 12:33:54	confirm	replay_32	mis_curriculum_32	full	adaptive	5	0.515901	0.272727	1.000000			0.515901	0	504.6	confirm	0	QRAO realamplitudes d=1 COBYLA
53	27	2026-03-21 12:33:54	confirm	replay_16	mis_curriculum_16	full	adaptive	5	0.025000	0.000000	0.125000		0.031250	0.000000	1	23.6	confirm	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
54	28	2026-03-21 13:29:58	confirm	train	mis_curriculum_48	full	adaptive	1	0.533333	0.533333	0.533333			0.533333	1	427.2	confirm	0	QRAO realamplitudes d=1 COBYLA
55	28	2026-03-21 13:29:58	confirm	replay_32	mis_curriculum_32	full	adaptive	5	0.214509	0.083333	0.285714			0.214509	1	1713.2	confirm	0	QRAO realamplitudes d=1 COBYLA
56	28	2026-03-21 13:29:58	confirm	replay_16	mis_curriculum_16	full	adaptive	5	0.025000	0.000000	0.125000		0.031250	0.000000	1	18.2	confirm	0	QAOA d=1 COBYLA CVaR(0.25) warmstart
